word,word_type,index,example_1,example_2,semantic_consistency
board,N,2-2,Room and board .,He nailed boards across the windows .,F
domesticity,N,4-6,Making a hobby of domesticity .,A royal family living in unpretentious domesticity .,F
acquisition,N,3-7,The child 's acquisition of language .,That graphite tennis racquet is quite an acquisition .,F
meeting,N,3-1,There was no meeting of minds .,The meeting elected a chairperson .,F
nude,N,4-4,They swam in the nude .,The marketing rule ' nude sells ' spread from verbal to visual mainstream media in the 20th century .,F
association,N,7-2,Conditioning is a form of learning by association .,Many close associations with England .,F
inclination,N,2-1,The alkaline inclination of the local waters .,An inclination of his head indicated his agreement .,F
tear,N,12-3,He took the manuscript in both hands and gave it a mighty tear .,There were big tears rolling down Lisa 's cheeks .,F
assurance,N,1-1,An assurance of help when needed .,His assurance in his superiority did not make him popular .,F
fuzz,N,9-1,He tried to clear his head of the whisky fuzz .,Peach fuzz .,F
char,N,10-11,"“ Among other native delicacies , they give you fresh char . ” .","“ I had to scrub the kitchen today , because the char could n't come ” .",F
response,N,4-1,This situation developed in response to events in Africa .,His responses have slowed with age .,F
catch,N,1-3,The catch was only 10 fish .,He shared his catch with the others .,F
shadiness,N,4-1,There 's too much shadiness to take good photographs .,The shadiness of their transactions .,F
passage,N,2-6,The outward passage took 10 days .,She struggled to play the difficult passages .,F
dissipation,N,1-1,The dissipation of the mist .,Mindless dissipation of natural resources .,F
portfolio,N,9-3,He remembered her because she was carrying a large portfolio .,He holds the portfolio for foreign affairs .,F
play,N,3-5,They gave full play to the artist 's talent .,It was all done in play .,F
rise,N,6-1,They asked for a 10 % rise in rates .,The rising of the Holy Ghost .,F
plenty,N,2-4,There was plenty of food for everyone .,It must have cost plenty .,F
look,N,1-1,A look of triumph .,His look was fixed on her eyes .,F
bottom,N,4-9,They started at the bottom of the hill .,They did much of their overseas trade in foreign bottoms .,F
stripe,N,3-3,Businessmen of every stripe joined in opposition to the proposal .,They earned their stripes in Kuwait .,F
nut,N,7-5,He was driving his car like a nut .,I kicked him in the nuts .,F
pressure,N,2-6,He used pressure to stop the bleeding .,The sensitivity of his skin to pressure and temperature was normal .,F
shtik,N,3-7,He 's a shtik crazy .,How did you ever fall for a shtik like that ?,F
tremor,N,3-4,She felt a tremor in her stomach before going on stage .,Did you feel the tremor this morning ?,F
harbour,N,6-7,The city has an excellent natural harbour .,The neighbourhood is a well - known harbour for petty thieves .,F
round,N,1-3,The round of the seasons .,The postman 's rounds .,F
resolution,N,3-6,Printing at higher resolution will cause a reduction in performance .,They never did achieve a final resolution of their differences .,F
trailer,N,1-14,The trailer for that movie makes it seem like it would be fun .,"At the end of the day , we put the snowmobiles back on the trailer .",F
dinner,N,7-6,Guests should never be late to a dinner party .,On Sundays they had a large dinner when they returned from church .,F
growth,N,1-1,A growth of hair .,The growth of culture .,F
buzz,N,1-1,The buzz of excitement was so great that a formal denial was issued .,The buzz of a bumble bee .,F
beat,N,8-1,In the old days a policeman walked a beat and knew all his people by name .,A beat of the heart .,F
footprint,N,5-1,The computer had a desktop footprint of 10 by 16 inches .,The footprints of an earlier civilization .,F
kick,N,1-11,The kick must be synchronized with the arm movements .,A sidecar is a smooth drink but it has a powerful kick .,F
smoothness,N,11-2,The weather system of the Pacific is determined by the uninterrupted smoothness of the ocean .,His oily smoothness concealed his guilt from the police .,F
mess,N,4-5,The house was a mess .,My boss dumped a whole mess of projects on my desk today .,F
way,N,7-4,They did n't have much in the way of clothing .,We went our separate ways .,F
crop,N,2-2,The annual crop of students brings many new ideas .,The latest crop of fashions is about to hit the stores .,F
snatch,N,2-1,Martin 's snatch at the bridle failed and the horse raced away .,Overheard snatches of their conversation .,F
building,N,2-1,The entire building complained about the noise .,The building of the bridge will be completed in a couple of weeks .,F
exchange,N,4-1,They had a bitter exchange .,An exchange of cattle for grain .,F
apology,N,3-1,It was an apology for a meal .,The Apology of Socrates .,F
wish,N,3-2,He got his wish .,My best wishes .,F
reinstatement,N,1-15,Her reinstatement to her former office followed quickly .,Many people are unhappy with the sacking of the chief constable and demand his immediate reinstatement .,F
installation,N,8-2,He gave a speech as part of his installation into the hall of fame .,The telephone installation took only a few minutes .,F
drought,N,10-5,When England defeated Pakistan it ended a ten - year drought .,Farmers most affected by the drought hope that there may yet be sufficient rain early in the growing season .,F
help,N,3-3,There 's no help for it .,I need some help with my homework .,F
profession,N,1-6,A profession of disagreement .,My father was a barrister by profession .,F
strip,N,6-3,He welded together some pieces of strip .,She did a strip right in front of everyone .,F
capacity,N,2-7,Limited runway capacity .,He should be retained in his present capacity at a higher salary .,F
frame,N,2-9,A lace frame .,His starved flesh hung loosely on his once imposing frame .,F
drawing,N,1-8,The drawing of water from the well .,He did complicated pen - and - ink drawings like medieval miniatures .,F
wake,N,7-3,There 's no weeping at an Irish wake .,The motorboat 's wake capsized the canoe .,F
glimpse,N,7-4,From the window he could catch a glimpse of the lake .,He caught only a glimpse of the professor 's meaning .,F
attack,N,4-1,He published an unexpected attack on my work .,An attack of diarrhea .,F
tilt,N,3-5,The court 's tilt toward conservative rulings .,The tower had a pronounced tilt .,F
square,N,10-3,The carpenter who built this room must have lost his square .,64 is the square of 8 .,F
sophistication,N,5-6,He practiced the art of sophistication upon reason .,Understanding affine transformations requires considerable mathematical sophistication .,F
muscle,N,4-0,The senators used their muscle to get the party leader to resign .,Muscle consists largely of actin and myosin filaments .,F
sequence,N,5-4,He played the trumps in sequence .,The doctor saw a sequence of patients .,F
fiefdom,N,3-20,The duke 's fiefdom had been greatly expanded as a reward for his dutiful military service on behalf of the king .,"Most of our company 's computers are standardized , but the IT director allows the employees in his own little fiefdom to specify their own machines .",F
ticket,N,6-9,This car could be just the ticket for a small family .,Joe will be running on an anti - crime ticket .,F
pull,N,4-6,It was a long pull but we made it .,He was sidelined with a hamstring pull .,F
touch,N,3-4,He has a touch of rheumatism .,He longed for the touch of her hand .,F
patronage,N,6-7,The restaurant had an upper class patronage .,Even before noon there was a considerable patronage .,F
exile,N,3-4,He lived in exile .,She lived as an exile .,F
safety,N,3-3,He ran to safety .,The reciprocal of safety is risk .,F
taste,N,11-3,To ask at that particular time was the ultimate in bad taste .,He got a taste of life on the wild side .,F
deliberation,N,3-1,It was the deliberation of his act that was insulting .,The deliberations of the jury .,F
vision,N,9-3,The runners emerged from the trees into his clear vision .,He had a vision of the Virgin Mary .,F
gap,N,0-7,Gap between income and outgo .,The exploring party went through the high gap in the mountains .,F
piece,N,6-3,The children acted out a comic piece to amuse the guests .,He sacrificed a piece to get a strategic advantage .,F
body,N,1-1,The body of the car was badly rusted .,Administrative body .,F
right,N,2-1,Take a right at the corner .,Film rights .,F
largeness,N,6-5,The might have repercussions of unimaginable largeness .,A man distinguished by the largeness and scope of his views .,F
hell,N,2-1,War is hell .,The hell of battle .,F
parade,N,6-3,"The floats and horses in the parade were impressive , but the marching bands were really amazing .",She made a parade of her sorrows .,F
preparation,N,3-8,He left the preparation of meals to his wife .,The resolution of one dissonance is often the preparation for another dissonance .,F
gem,N,3-4,He had the gem set in a ring for his wife .,She 's an absolute gem .,F
part,N,5-3,The government must do its part .,Religions in all parts of the world .,F
tool,N,3-6,"He was a tool , no more than a pawn to her .",I do n't have the right tools to start fiddling around with the engine .,F
life,N,1-13,Real life .,It was a heavy play and the actors tried in vain to give life to it .,F
load,N,3-5,That 's a load off my mind .,I 'm worried that the load on that transformer will be too high .,F
office,N,4-5,An executive or judical office .,During his first year in office .,F
embodiment,N,1-4,The embodiment of hope .,A circle was the embodiment of his concept of life .,F
date,N,1-1,His date never stopped talking .,The date for pleading .,F
rush,N,7-4,The linebackers were ready to stop a rush .,Come back after the rush .,F
care,N,5-0,He handled the vase with care .,Care should be taken when holding babies .,F
noise,N,15-3,"He knew that it was trash day , when the garbage collectors made all the noise .",They heard indistinct noises of people talking .,F
class,N,3-15,An emerging professional class .,"Apologizing for losing your temper , even though you were badly provoked , showed real class .",F
horse,N,2-1,A clothes horse .,500 horse led the attack .,F
attitude,N,10-6,The airliner had to land with a nose - up attitude after the incident .,The actor struck just the right attitude .,F
break,N,2-5,Make a break for it .,He finally got his big break .,F
check,N,8-1,As he called the role he put a check mark by each student 's name .,A check on its dependability under stress .,F
influence,N,4-4,He was a bad influence on the children .,Used her parents ' influence to get the job .,F
facility,N,6-1,The assembly plant is an enormous facility .,Educational facilities .,F
closure,N,3-11,They regretted the closure of the day care center .,He needed to grieve before he could achieve a sense of closure .,F
peak,N,1-4,The peak of perfection .,The view from the peak was magnificent .,F
walk,N,7-0,After the blizzard he shoveled the front walk .,Walking is a healthy form of exercise .,F
blockage,N,3-10,"There was a blockage in the sewer , so we called out the plumber .",We had to call a plumber to clear out the blockage in the drainpipe .,F
shape,N,6-6,Geometry is the mathematical science of shape .,He could barely make out their shapes .,F
aliyah,N,2-6,Students making aliyah .,He was called on for an aliyah .,F
acquaintance,N,9-9,I know of the man ; but have no acquaintance with him .,I have trouble remembering the names of all my acquaintances .,F
street,N,4-2,Be careful crossing the street .,The whole street protested the absence of lights .,F
board,N,1-4,The board has seven members .,He got out the board and set up the pieces .,F
grip,N,8-4,In Britain they call a bobby pin a grip .,They kept a firm grip on the two top priorities .,F
snap,N,3-3,The infielder 's snap and throw was a single motion .,Children can manage snaps better than buttons .,F
go,N,3-5,It 's my go .,I 'll give it a go .,F
shot,N,6-5,The nurse gave him a flu shot .,He tried to get unposed shots of his friends .,F
mixture,N,3-1,He drank a mixture of beer and lemonade .,The mixture of sulphuric acid and water produces heat .,F
barrage,N,1-4,A barrage of questions .,They laid down a barrage in front of the advancing troops .,F
transfer,N,1-5,The transfer of the music from record to tape suppressed much of the background noise .,The best student was a transfer from LSU .,F
intellect,N,4-6,He has a keen intellect .,Some of the world 's leading intellects were meeting there .,F
toilet,N,4-4,He made his morning toilet and went to breakfast .,Pensions are in the toilet .,F
scraping,N,4-3,All that bowing and scraping did not impress him .,They collected blood scrapings for analysis .,F
breed,N,4-1,Google represents a new breed of entrepreneurs .,A breed of tulip .,F
section,N,7-0,There are three synagogues in the Jewish section .,Sections from the left ventricle showed diseased tissue .,F
bang,N,3-4,He got a bang on the head .,They got a great bang out of it .,F
activity,N,1-4,Catalytic activity .,They avoided all recreational activity .,F
terror,N,2-3,He used terror to make them confess .,He was the terror of the neighborhood .,F
flowage,N,4-6,Rock fracture and rock flowage are different types of geological deformation .,Many campsites were located near the flowage .,F
denizen,N,5-7,The bald eagle is a denizen of the northern part of the state .,The giant squid is one of many denizens of the deep .,F
sensation,N,4-1,The news caused a sensation .,A sensation of touch .,F
dollar,N,4-1,He worships the almighty dollar .,The dollar coin has never been popular in the United States .,F
view,N,6-10,They look the same in outward view .,The most desirable feature of the park are the beautiful views .,F
